ds,product_id,city_id,y
7/14/2019,2981,26,3500
11/11/2019,2981,26,3000
6/13/2019,4254,16,2900
6/25/2019,5599,16,2400
7/10/2019,3622,16,3300
5/28/2019,3622,16,3000
7/27/2018,6121,26,3500
8/10/2018,6121,26,3700
8/14/2018,5435,13,3100
8/2/2018,6121,26,2900
8/12/2019,6121,26,3100
10/13/2019,3622,16,3778
7/26/2018,6121,26,3719
8/9/2018,6121,26,3648
8/13/2018,6121,26,3624
8/6/2018,6121,26,3616
8/14/2018,6121,26,3537
8/8/2018,6121,26,3529
7/30/2018,6121,26,3487
7/25/2018,6121,26,3435
7/31/2018,6121,26,3408
7/29/2018,6121,26,3401
